Actual,Predicted,Proba
0,0,0.16574575285308624
0,0,0.494879378653154
0,0,0.02172481199157691
0,0,0.13696824760470416
0,0,0.08950687101651057
0,0,0.27198424310146313
0,1,0.6671651839347722
0,0,0.01895847175492321
0,0,0.1529386999787192
0,0,0.3305221930553909
0,0,0.3168070876067544
1,1,0.703745998346551
0,0,0.06454576008362027
0,0,0.04395239849095734
0,0,0.208394879739493
0,1,0.6045915713492678
0,0,0.14510118332650937
0,0,0.11603700425455575
0,0,0.17875827477741577
0,0,0.08034561017948928
0,0,0.03287683999289685
0,1,0.5501934945000019
0,1,0.7095972939271413
0,0,0.031364332889521056
0,0,0.4709693901213863
1,1,0.7227409758538867
0,0,0.487488189168101
0,0,0.4064275504366996
0,0,0.32348742569688227
0,1,0.5704498974684751
0,0,0.16169672794632461
0,1,0.5507810749675409
0,0,0.19246742825459925
0,0,0.07278972026547835
0,1,0.5958253653638984
1,1,0.5781112583861616
0,0,0.03834535610483755
0,0,0.0555883993359446
1,1,0.6345132658052893
1,1,0.6246353256788691
0,1,0.6752128557897146
1,1,0.8381935799517791
0,0,0.1511740671703161
0,1,0.7228093699816731
0,0,0.16872663728459927
0,1,0.5000969419818893
0,0,0.2661526010061676
0,0,0.16751956069438298
1,1,0.5390035857448244
0,0,0.06574189867367848
0,0,0.07518201386930855
1,0,0.2684715562548226
0,0,0.09584486229071353
0,0,0.10451863348842387
0,0,0.2140262287552938
0,0,0.09070769211482373
0,0,0.15580206519225137
0,1,0.7752812408311321
0,0,0.20191715930421836
0,0,0.049715296512650234
0,0,0.054255695891753566
0,0,0.22726864668405852
0,0,0.11356522659442164
0,0,0.36409414598755513
1,1,0.7236973488023787
0,1,0.6029476891737642
0,0,0.1194126509860806
0,1,0.6123815682522394
0,0,0.19340988680367943
1,1,0.796004354669493
1,0,0.31713478213776036
0,1,0.6514195308736599
0,0,0.12204070794370407
0,0,0.15517958830149098
0,1,0.5868680096852558
0,0,0.26625532783777306
0,1,0.5738270212188108
1,1,0.6901647221245222
0,0,0.056905057818280626
0,0,0.2895009558334412
0,0,0.07609145578689684
0,0,0.1540373990812198
0,0,0.0259107059207575
0,0,0.2694834723028085
0,0,0.10120903493322068
0,0,0.13440413251068453
0,0,0.0991014350177172
0,0,0.06497169012499163
0,0,0.11609658695919914
1,0,0.1364878156855597
0,0,0.08570428859710764
0,0,0.34488676894797565
0,0,0.4081717705261134
0,0,0.3922038171448895
1,1,0.6085756991113234
1,0,0.21455059262076323
0,0,0.04359407950948607
0,0,0.18497422970162614
0,0,0.4694378995607951
0,0,0.07794254542383941
0,1,0.6771589539649543
0,0,0.15408424322346442
0,0,0.47968487917617686
1,1,0.8054072787957307
0,0,0.20906696561609223
0,1,0.5797366035470354
0,0,0.020188818042822628
1,1,0.5921123009236283
0,0,0.2993604724983851
0,0,0.29792200664054497
0,0,0.26487019870268735
1,1,0.7578604417353396
0,1,0.7063425745217847
0,0,0.26880093407159844
1,0,0.2280865717936005
0,0,0.37346632689693526
1,1,0.7437947557269681
0,0,0.28649748870435177
0,0,0.10181353378313432
0,0,0.3558433514431652
0,0,0.2590715255959602
0,1,0.5568183853703481
0,0,0.3204447916295813
0,0,0.05017346662707387
0,0,0.06394485094184527
0,0,0.21477862470642378
0,0,0.19392932806814375
0,1,0.503060145676181
0,0,0.08838341098467588
0,0,0.14437313426859194
0,0,0.2107217065923631
0,0,0.043611021538248675
1,1,0.705853060990534
0,0,0.2277296941277597
0,1,0.535394377549445
0,1,0.715281479004857
0,0,0.18887294377376762
0,1,0.6451893066034066
1,1,0.7248167987258914
0,0,0.22528317960268407
1,1,0.780128639457933
0,0,0.3194181315108112
0,0,0.1754911240159139
