jour,mois,lum,agg,int,atm,col,catr,circ,vosp,prof,plan,surf,infra,situ,vma,place,sexe,an_nais,trajet,locp,senc,catv,obs,obsm,manv,nb_v,nb_u,hr,has_ceinture,has_gants,has_casque,has_airbag,has_gilet,has_de,choc_avant,choc_arriere,choc_gauche,choc_droit,target
4,10,jour,oui,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,2004,domicile,chaussee,croissant,vl,aucun,pieton,1,1,2,7,0,0,0,0,0,0,1,0,0,1,1
8,2,nocturne,oui,complexe,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,40,conducteur,masculin,1976,personnelle,sans,inconnu,cycle_edp,aucun,vehicule,26,2,2,23,0,0,0,0,0,0,0,1,1,0,1
19,3,jour,non,aucun,normale,autres,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,110,conducteur,masculin,1949,personnelle,sans,croissant,vl,aucun,vehicule,1,3,3,15,0,0,0,0,0,0,0,1,1,0,0
13,3,jour,non,simple,pluvieuses,deux_vl,route_secondaire,simple,sans,incline,rectiligne,humide,aucun,normale,80,conducteur,masculin,1943,personnelle,sans,decroissant,vl,aucun,vehicule,26,2,2,10,1,0,0,0,0,0,1,0,0,0,1
26,4,crepuscule_aube,oui,complexe,normale,autres,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,normale,30,conducteur,masculin,1999,autre,sans,croissant,vl,structurel,aucun,14,1,2,6,1,0,0,0,0,0,1,0,0,0,1
8,1,nocturne,oui,complexe,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,50,conducteur,masculin,1966,personnelle,sans,inconnu,cycle_edp,aucun,vehicule,11,2,2,19,0,0,0,0,0,0,1,0,0,1,0
22,11,nocturne,oui,aucun,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1980,personnelle,sans,inconnu,vl,aucun,vehicule,15,2,2,19,1,0,0,0,0,0,1,0,1,0,0
30,8,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,incline,rectiligne,normale,aucun,normale,70,conducteur,feminin,1989,personnelle,sans,decroissant,vl,aucun,vehicule,0,2,2,12,1,0,0,0,0,0,0,1,0,0,0
27,6,crepuscule_aube,oui,aucun,normale,sans_collision,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1987,autre,sans,croissant,vl,structurel,aucun,21,1,1,21,1,0,0,0,0,0,0,0,0,0,0
21,11,crepuscule_aube,non,aucun,pluvieuses,autres,route_principale,simple,sans,plat,rectiligne,humide,zones,particuliere,70,conducteur,masculin,1977,domicile,sans,decroissant,vl,structurel,aucun,1,1,1,17,0,0,0,0,0,0,1,0,0,0,1
