model,recall,roc_auc,best_params,training_time_seconds
RandomForest_not,0.5752521887810899,0.8433264148931738,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 5}",70.65705633163452
RandomForest_correlation,0.5363241720079358,0.7960965366046477,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 5}",48.008941650390625
RandomForest_model,0.5506038151721505,0.8365029663835202,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 5}",100.49118375778198
XGBoost_not,0.6064928087360921,0.8710381741910094,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",38.57838797569275
XGBoost_correlation,0.5567642885582526,0.8160791816632272,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",28.949466228485107
XGBoost_model,0.5818368208345805,0.8597553402307492,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",77.81649875640869
LogisticRegression_not,0.5601827930385214,0.8263627462681771,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.001}",22.112987995147705
LogisticRegression_correlation,0.49604400912859514,0.7443343495989838,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.001}",19.453752994537354
LogisticRegression_model,0.5179604901747338,0.7997719464391657,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.001}",67.46323537826538
KNN_not,0.5220203778795649,0.7496824044840011,"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 3}",80.06808662414551
KNN_correlation,0.4678490913753761,0.6905363252348966,"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 3}",44.98413920402527
KNN_model,0.49356593840735324,0.7305972850136461,"{'classifier__weights': 'uniform', 'classifier__p': 1, 'classifier__n_neighbors': 3}",83.25703310966492
AdaBoost_not,0.5056021772050808,0.7670342998517199,"{'classifier__n_estimators': 50, 'classifier__learning_rate': 0.01}",76.22755002975464
AdaBoost_correlation,0.45574264707205253,0.7408700974318523,"{'classifier__n_estimators': 50, 'classifier__learning_rate': 0.01}",49.05959701538086
AdaBoost_model,0.5056021772050808,0.7685611263696428,"{'classifier__n_estimators': 50, 'classifier__learning_rate': 0.01}",90.22345852851868
GradientBoosting_not,0.5654560117487076,0.8231622146813445,"{'classifier__n_estimators': 50, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}",341.6070911884308
GradientBoosting_correlation,0.5136958258226852,0.7654468282805136,"{'classifier__n_estimators': 50, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}",169.25195336341858
GradientBoosting_model,0.5435295685727883,0.8193375602547465,"{'classifier__n_estimators': 50, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}",194.92384934425354
