Actual,Predicted,Proba
0,0,0.23169929
0,0,0.034150988
0,0,0.03219775
0,0,0.039468028
0,0,0.24506871
0,0,0.085022025
0,0,0.014647391
0,0,0.022590075
0,0,0.010307332
0,1,0.82995546
0,0,0.19308913
1,1,0.50799686
0,0,0.005144929
0,0,0.018847277
0,0,0.00777146
0,0,0.0108927265
0,0,0.13203411
0,0,0.0085081
0,0,0.056184497
0,0,0.0021059227
0,0,0.002429802
0,0,0.4582421
0,0,0.0023049356
0,0,0.12410077
0,0,0.011886957
1,1,0.7725576
0,0,0.025790099
0,0,0.017789254
0,0,0.0062047667
0,0,0.036404815
0,0,0.009231386
0,0,0.086193085
0,0,0.2439838
0,0,0.050512366
0,0,0.0050501414
1,0,0.33040297
0,0,0.0038272953
0,0,0.14838162
1,0,0.2665649
1,1,0.5613742
0,0,0.0048986347
1,0,0.16865113
0,0,0.11350724
0,0,0.005353753
0,0,0.14003305
0,0,0.019096242
0,1,0.85185593
0,0,0.007340658
1,0,0.29728168
0,0,0.07332436
0,0,0.012004523
1,0,0.2972094
0,0,0.0018981637
0,1,0.86993957
0,0,0.15348463
0,0,0.2015786
0,0,0.038117614
0,0,0.05294654
0,0,0.029216073
0,0,0.031170134
0,0,0.25314015
0,0,0.05076249
0,0,0.19518028
0,0,0.040682
1,0,0.032137558
0,0,0.020397007
0,0,0.36325932
0,0,0.19633177
0,0,0.36370283
1,1,0.7826062
1,1,0.6117207
0,0,0.02481431
0,0,0.045013625
0,0,0.047032095
0,0,0.031940974
0,0,0.006676488
0,0,0.004044755
1,0,0.107436284
0,0,0.010968191
0,0,0.04932038
0,0,0.012927274
0,0,0.28103638
0,0,0.00966467
0,0,0.30828035
0,0,0.2488207
0,0,0.0042842664
0,0,0.12984842
0,0,0.024729336
0,0,0.01818191
1,1,0.7014898
0,0,0.050624713
0,0,0.030935585
0,0,0.023550356
0,0,0.019195886
1,0,0.3809997
1,0,0.13066593
0,0,0.09970534
0,0,0.024300845
0,0,0.004012829
0,0,0.00549576
0,0,0.009039288
0,0,0.04339862
0,0,0.06248994
1,1,0.87328446
0,0,0.021319823
0,0,0.038691655
0,1,0.54129857
1,0,0.30116564
0,0,0.013192314
0,0,0.42322072
0,0,0.08116386
1,1,0.5478644
0,1,0.5142547
0,0,0.092925906
1,1,0.64006865
0,0,0.011877596
1,0,0.34689277
0,1,0.6176502
0,0,0.03576841
0,0,0.05796576
0,0,0.019759305
0,0,0.009382923
0,0,0.39430708
0,0,0.14890726
0,0,0.2428766
0,0,0.060312014
0,0,0.019793391
0,1,0.7286061
0,0,0.024325877
0,0,0.41607442
0,0,0.0005764216
0,0,0.26424822
1,0,0.025655929
0,0,0.0012280254
0,0,0.22858208
0,0,0.19695982
0,0,0.45418623
0,0,0.11044079
1,0,0.16483442
0,0,0.005397405
1,1,0.6836399
0,0,0.0020673443
0,0,0.020031078
0,0,0.13751934
1,0,0.3180867
0,0,0.012450703
0,0,0.022407122
0,0,0.02865877
0,0,0.1279207
0,0,0.018526092
0,0,0.060232483
0,0,0.06321013
0,0,0.15326606
0,0,0.016312927
0,0,0.16609323
0,0,0.20662276
0,0,0.015754618
0,0,0.10394094
0,0,0.04886659
0,0,0.12116732
1,0,0.18689495
1,1,0.56007165
1,0,0.32299206
1,0,0.09795272
0,0,0.41262212
1,0,0.21925303
0,0,0.08471973
1,0,0.19968197
0,0,0.3263121
0,0,0.027520703
0,0,0.030877626
0,0,0.07033839
0,0,0.010529191
1,1,0.9423474
0,0,0.1496772
0,0,0.06168647
1,1,0.83766496
0,0,0.07982568
0,0,0.13400076
0,0,0.006896983
0,0,0.08219799
1,0,0.15462714
1,0,0.39965963
0,0,0.0112959845
0,0,0.0827093
0,0,0.0060064993
0,0,0.28621832
0,0,0.14823103
0,1,0.51079005
0,0,0.012651887
1,1,0.5902894
0,0,0.012200148
0,0,0.004870026
0,0,0.0035672095
0,0,0.0454842
0,1,0.5847906
0,0,0.14039904
0,0,0.009302548
0,0,0.004816111
1,0,0.41937035
0,0,0.0037649632
1,0,0.13319269
0,0,0.02004842
0,0,0.03656813
0,0,0.1388839
0,0,0.117282026
1,1,0.5619958
1,1,0.5091615
0,0,0.27016118
1,1,0.96288556
0,0,0.031751364
0,0,0.033580396
0,0,0.0067291404
0,0,0.09880358
0,0,0.13718447
0,0,0.07510874
1,0,0.105659045
1,1,0.53810626
0,0,0.0039455513
0,0,0.2021969
1,0,0.38178277
0,0,0.01777407
0,0,0.03299385
0,0,0.44678193
0,0,0.40980378
0,1,0.69407886
1,0,0.037821867
0,0,0.072220154
0,0,0.0077621
0,0,0.012081482
0,0,0.017718505
1,0,0.33054826
0,0,0.32948095
0,0,0.17944175
1,1,0.84614134
0,0,0.07927779
0,0,0.28675836
0,0,0.1597912
1,0,0.13755894
1,0,0.49664876
1,0,0.39518315
0,0,0.2111966
1,0,0.11244065
0,0,0.00040253665
0,0,0.005557138
0,0,0.051659517
0,0,0.025701186
0,0,0.2897989
0,1,0.8035529
0,0,0.010186111
0,0,0.1597214
1,0,0.19129285
0,0,0.042335298
0,0,0.106653206
0,0,0.07539003
0,0,0.017883578
0,0,0.02633588
1,1,0.70190406
1,0,0.37501
0,0,0.042492744
1,1,0.65067554
1,0,0.32133648
0,0,0.05368779
0,0,0.14298843
1,1,0.83903146
0,0,0.014751597
0,0,0.028908055
0,0,0.0452028
0,0,0.09470399
0,0,0.33306965
0,0,0.28442454
0,0,0.13255286
0,0,0.0053581656
0,0,0.35298908
0,0,0.21073262
0,0,0.36729
0,0,0.32308936
0,0,0.020627076
1,1,0.7872279
0,0,0.09191898
0,0,0.02433708
0,0,0.08504277
0,0,0.3394711
0,0,0.24917193
0,0,0.005887766
1,0,0.09067158
0,0,0.26876217
0,0,0.062273722
0,0,0.008169398
0,1,0.54501206
1,1,0.9376346
0,0,0.0917186
0,0,0.2510374
0,0,0.0015631865
0,0,0.05414309
0,0,0.02258095
0,0,0.007936275
0,0,0.076316856
0,0,0.0022446518
0,0,0.20441018
0,0,0.16973753
0,0,0.060940877
0,0,0.01853024
1,0,0.013534861
1,0,0.118227154
0,0,0.07585798
0,0,0.024594905
0,0,0.11909441
0,0,0.017686706
0,0,0.0051121893
1,0,0.42811593
0,0,0.31148207
0,0,0.002022781
0,0,0.10686958
0,0,0.035660427
0,0,0.15408169
0,0,0.21742229
0,1,0.54441667
0,0,0.04389304
0,0,0.0045105508
0,1,0.5764898
0,0,0.0069005988
0,0,0.25886062
0,0,0.37894073
0,0,0.01943698
0,0,0.18162955
1,1,0.5675644
0,0,0.106257424
0,0,0.096250154
0,1,0.5629275
0,0,0.030104356
1,1,0.57783186
0,0,0.01618852
0,0,0.009278291
0,0,0.008113131
1,0,0.35449782
0,0,0.014669891
0,0,0.056732725
0,0,0.15965126
0,0,0.022168852
0,0,0.037798908
0,0,0.0150967995
0,0,0.036867425
1,1,0.66758996
0,0,0.010849846
0,0,0.012342515
0,0,0.3337652
0,0,0.014782462
1,0,0.44943696
0,0,0.070296414
0,0,0.21727948
0,0,0.18105336
0,0,0.016935779
1,0,0.16242
1,0,0.06334581
0,0,0.11274429
0,0,0.016855381
0,0,0.027769053
0,0,0.011059272
0,0,0.021175321
0,0,0.008786975
0,0,0.06858547
0,0,0.048214164
0,0,0.045811705
0,0,0.1075043
0,0,0.015884478
0,0,0.018639665
0,0,0.016689155
1,0,0.38604045
1,1,0.823759
0,0,0.020873567
1,1,0.8444014
0,0,0.11761434
0,0,0.069540836
0,0,0.1049949
0,0,0.014313552
0,0,0.28069654
0,0,0.0053922725
0,0,0.011503035
0,0,0.20770116
1,0,0.22772026
0,0,0.012797813
0,0,0.025649445
0,0,0.0059337574
0,1,0.72675115
1,0,0.33413512
0,0,0.079890884
1,1,0.7203479
0,0,0.31078687
1,0,0.05540447
0,0,0.24552698
0,0,0.08731274
0,0,0.046402816
0,0,0.13510631
1,1,0.8080014
0,0,0.0014820293
0,0,0.021718455
0,0,0.005541373
0,0,0.17050746
0,0,0.044186957
0,0,0.007956807
0,0,0.18776798
0,0,0.03720584
0,0,0.005734163
0,0,0.48454288
0,0,0.03793444
1,1,0.6041431
0,0,0.43611693
0,0,0.041982494
0,0,0.0069460846
1,0,0.2793951
1,0,0.40944645
1,0,0.18646207
1,0,0.34550214
0,0,0.0072099078
0,0,0.012184073
0,0,0.0027433124
0,0,0.06101187
1,1,0.5987006
0,0,0.018379271
0,0,0.025906632
1,0,0.13139698
1,0,0.044440158
