Actual,Predicted,Proba
0,0,0.08475477
0,0,0.16692117
0,0,0.008886285
0,0,0.06582017
0,0,0.028163185
0,0,0.13274652
0,0,0.091235146
0,0,0.0015149292
0,0,0.04823166
0,0,0.15652752
0,0,0.06658463
1,1,0.73560184
0,0,0.016150108
0,0,0.0023059028
0,0,0.025097605
0,0,0.36051577
0,0,0.051235203
0,0,0.042403433
0,0,0.06868453
0,0,0.03503235
0,0,0.011218031
0,0,0.31278095
0,0,0.34625137
0,0,0.016564257
0,0,0.26336047
1,1,0.8013683
0,0,0.18183737
0,0,0.2802424
0,0,0.07703207
0,0,0.13320608
0,0,0.065606624
0,0,0.18804772
0,0,0.06337258
0,0,0.04939436
0,0,0.21468168
1,0,0.14682277
0,0,0.011611013
0,0,0.028444223
1,0,0.37220365
1,0,0.32904726
0,0,0.42196447
1,1,0.58654785
0,0,0.0798759
0,0,0.38969794
0,0,0.013475278
0,0,0.14662246
0,0,0.08530947
0,0,0.071522616
1,0,0.17446175
0,0,0.027270874
0,0,0.020991648
1,0,0.19471663
0,0,0.0051033497
0,0,0.047997
0,0,0.048421312
0,0,0.025962144
0,0,0.05632395
0,1,0.5856086
0,0,0.07177748
0,0,0.0034591504
0,0,0.019208716
0,0,0.021396417
0,0,0.0048519233
0,0,0.17198397
1,0,0.44183677
0,0,0.32353428
0,0,0.04047988
0,1,0.7376499
0,0,0.0091801
1,1,0.61334497
1,0,0.06874475
0,0,0.4027666
0,0,0.027822489
0,0,0.03895613
0,0,0.29822692
0,0,0.06949758
0,0,0.29810354
1,0,0.32285288
0,0,0.024983125
0,0,0.11691836
0,0,0.03278912
0,0,0.017094681
0,0,0.013466292
0,0,0.08476734
0,0,0.020829776
0,0,0.053506747
0,0,0.038561862
0,0,0.017320398
0,0,0.05531626
1,0,0.04664809
0,0,0.007561506
0,0,0.22661835
0,0,0.16568859
0,0,0.11569243
1,0,0.27314764
1,0,0.09055669
0,0,0.007702449
0,0,0.030875098
0,0,0.39926574
0,0,0.024862848
0,1,0.50206673
0,0,0.058203593
0,0,0.23417968
1,1,0.79369044
0,0,0.0988129
0,0,0.3103764
0,0,0.009759943
1,0,0.48852226
0,0,0.0432565
0,0,0.12683068
0,0,0.04864082
1,1,0.71511984
0,1,0.5661952
0,0,0.082756795
1,0,0.12068303
0,0,0.10125735
1,1,0.8077568
0,0,0.100165814
0,0,0.027033973
0,0,0.01096618
0,0,0.2473714
0,0,0.3135667
0,0,0.055979017
0,0,0.020086026
0,0,0.02052587
0,0,0.009656736
0,0,0.065686785
0,0,0.31610224
0,0,0.0060066897
0,0,0.054145884
0,0,0.015091519
0,0,0.012500078
1,0,0.3926659
0,0,0.0764219
0,0,0.17229469
0,0,0.40363643
0,0,0.0053506866
0,0,0.24396104
1,0,0.37302306
0,0,0.091870576
1,1,0.6925451
0,0,0.21609223
0,0,0.022919187
0,0,0.21011162
1,0,0.06450579
0,0,0.15104191
