Actual,Predicted,Proba
0,0,0.23749864
0,1,0.549459
0,0,0.10317759
0,0,0.23407671
0,0,0.16065884
0,0,0.24338582
0,1,0.622784
0,0,0.102969185
0,0,0.24338582
0,0,0.3513815
0,1,0.6160008
1,1,0.6753879
0,0,0.16428347
0,0,0.11446613
0,0,0.3803672
0,1,0.6172914
0,0,0.26510686
0,0,0.23249903
0,0,0.24338582
0,0,0.13487159
0,0,0.12455743
0,1,0.6506425
0,1,0.63270223
0,0,0.1370515
0,1,0.5945489
1,1,0.6854664
0,1,0.5185756
0,1,0.5667892
0,0,0.3910516
0,1,0.58811885
0,0,0.23399374
0,1,0.55067724
0,0,0.24338582
0,0,0.1538617
0,1,0.6391752
1,1,0.55067724
0,0,0.11537223
0,0,0.14640808
1,1,0.6286638
1,1,0.5210254
0,1,0.7492223
1,1,0.7632067
0,0,0.24338582
0,1,0.65661263
0,0,0.25570682
0,1,0.549459
0,0,0.4615293
0,0,0.23420185
1,1,0.55067724
0,0,0.13776428
0,0,0.19305998
1,0,0.3476592
0,0,0.24063554
0,0,0.24338582
0,0,0.37927285
0,0,0.21349683
0,0,0.24338582
0,1,0.7390951
0,0,0.3109335
0,0,0.121673316
0,0,0.11008218
0,0,0.2620505
0,0,0.17986558
0,0,0.33599073
1,1,0.7492223
0,1,0.58287174
0,0,0.31135198
0,1,0.61658716
0,0,0.2205844
1,1,0.7842755
1,0,0.4975669
0,1,0.65447694
0,0,0.21247719
0,0,0.24935775
0,1,0.6037046
0,1,0.53116745
0,1,0.62125945
1,1,0.61141574
0,0,0.16178904
0,0,0.31863162
0,0,0.14043519
0,0,0.25525525
0,0,0.10317759
0,0,0.30963084
0,0,0.22242095
0,0,0.24338582
0,0,0.16892207
0,0,0.16065884
0,0,0.27802098
1,0,0.14540441
0,0,0.17035875
0,0,0.28644538
0,1,0.51722443
0,1,0.51151943
1,1,0.5509644
1,0,0.3648787
0,0,0.10782413
0,0,0.39077523
0,1,0.5308339
0,0,0.14047891
0,1,0.65246314
0,0,0.16892207
0,1,0.68523484
1,1,0.6962916
0,0,0.24338582
0,1,0.5634309
0,0,0.1148143
1,1,0.62294614
0,1,0.6372279
0,0,0.4615293
0,0,0.17393817
1,1,0.769915
0,1,0.7842755
0,0,0.48032913
1,0,0.21611196
0,0,0.47498432
1,1,0.73767364
0,1,0.5421582
0,0,0.23249903
0,0,0.3445755
0,0,0.35653773
