Actual,Predicted,Proba
0,0,0.05859372
0,0,0.1571598
0,0,0.006628915
0,0,0.06657017
0,0,0.03140293
0,0,0.06645392
0,0,0.30741173
0,0,0.0045174803
0,0,0.049952053
0,0,0.1097932
0,0,0.17594306
1,0,0.45342132
0,0,0.020320592
0,0,0.013417331
0,0,0.046854444
0,0,0.3761076
0,0,0.044617698
0,0,0.06384825
0,0,0.07192129
0,0,0.025926642
0,0,0.010990047
0,0,0.3139663
0,0,0.43560642
0,0,0.016281271
0,0,0.20510806
1,1,0.5183845
0,0,0.22035569
0,0,0.23717247
0,0,0.054714203
0,0,0.24697265
0,0,0.0631156
0,0,0.2671525
0,0,0.06949591
0,0,0.028674675
0,0,0.23846824
1,0,0.25819555
0,0,0.014208942
0,0,0.014887044
1,0,0.42952326
1,0,0.2498952
0,0,0.44116667
1,1,0.683952
0,0,0.10364279
0,0,0.38725612
0,0,0.10162694
0,0,0.13423692
0,0,0.07018562
0,0,0.065106794
1,0,0.17581923
0,0,0.028084984
0,0,0.031214368
1,0,0.14421119
0,0,0.0236237
0,0,0.042140797
0,0,0.04633708
0,0,0.031455915
0,0,0.067078486
0,1,0.5332202
0,0,0.10712447
0,0,0.020047802
0,0,0.016309911
0,0,0.06888684
0,0,0.019969944
0,0,0.15220651
1,0,0.47968844
0,0,0.3954721
0,0,0.04671727
0,1,0.6114096
0,0,0.05017426
1,1,0.72246605
1,0,0.09030655
0,0,0.3829677
0,0,0.037338667
0,0,0.069868304
0,0,0.2052204
0,0,0.08468679
0,0,0.28008154
1,0,0.3048147
0,0,0.022116985
0,0,0.07254644
0,0,0.034483
0,0,0.07675948
0,0,0.012322502
0,0,0.10447389
0,0,0.026209746
0,0,0.05639937
0,0,0.025867095
0,0,0.019568099
0,0,0.07016707
1,0,0.0349989
0,0,0.019937344
0,0,0.28677216
0,0,0.14203595
0,0,0.10435621
1,0,0.2689322
1,0,0.07316357
0,0,0.011955831
0,0,0.05630719
0,0,0.31563872
0,0,0.019846343
0,1,0.51993495
0,0,0.037561443
0,0,0.2961507
1,1,0.71984893
0,0,0.051344275
0,0,0.32783794
