Actual,Predicted,Proba
0,0,0.23475496
0,1,0.5240359
0,0,0.11466643
0,0,0.2573836
0,0,0.1823647
0,0,0.42334947
0,1,0.58541644
0,0,0.10417116
0,0,0.27407837
0,0,0.35072637
0,1,0.5358231
1,1,0.747098
0,0,0.17895612
0,0,0.11403822
0,0,0.31036618
0,1,0.5421739
0,0,0.275508
0,0,0.23689122
0,0,0.2773993
0,0,0.1754783
0,0,0.13053404
0,1,0.5320813
0,0,0.47620413
0,0,0.13795458
0,1,0.6057857
1,1,0.7660294
0,1,0.52244234
0,1,0.55785125
0,0,0.39551973
0,1,0.5511862
0,0,0.27407837
0,1,0.5372077
0,0,0.27407837
0,0,0.15585893
0,0,0.49967775
1,1,0.5471257
0,0,0.14227943
0,0,0.1670141
1,1,0.60944706
1,0,0.48553872
0,1,0.7337882
1,1,0.71347076
0,0,0.28630784
0,1,0.6370681
0,0,0.2910507
0,1,0.5099065
0,0,0.39886817
0,0,0.23656738
1,1,0.5372077
0,0,0.17145786
0,0,0.22695252
1,0,0.35417885
0,0,0.24572335
0,0,0.28630784
0,0,0.4006428
0,0,0.20304611
0,0,0.27407837
0,1,0.70720655
0,0,0.3012651
0,0,0.13999411
0,0,0.12181762
0,0,0.24951914
0,0,0.19562308
0,0,0.34678853
1,1,0.7337882
0,1,0.54300225
0,0,0.25299853
0,1,0.7297853
0,0,0.2515778
1,1,0.72145045
1,0,0.4659618
0,1,0.64953196
0,0,0.20854767
0,0,0.2036764
0,1,0.6358442
0,0,0.33560687
0,1,0.58541644
1,1,0.58541644
0,0,0.21338578
0,0,0.36477807
0,0,0.18923593
0,0,0.2910507
0,0,0.11466643
0,0,0.30972475
0,0,0.21932326
0,0,0.2773993
0,0,0.22086695
0,0,0.19184557
0,0,0.2516105
1,0,0.18879367
0,0,0.15909888
0,0,0.40910968
0,1,0.5242453
0,0,0.48510543
1,1,0.53986925
1,0,0.34395948
0,0,0.123485744
0,0,0.30994555
0,1,0.59885496
0,0,0.16050254
0,0,0.49166125
0,0,0.31146997
0,1,0.65457326
1,1,0.748924
0,0,0.42334947
0,1,0.57110596
0,0,0.13807954
1,1,0.6219403
0,1,0.5119813
0,0,0.42463765
0,0,0.22879836
1,1,0.705379
0,1,0.7225678
0,0,0.46760207
1,0,0.2112224
0,0,0.44105822
1,1,0.7152443
0,1,0.5246347
0,0,0.24802834
0,0,0.30114582
0,0,0.32928744
0,1,0.50176495
0,1,0.5529085
0,0,0.1920141
0,0,0.18595155
0,0,0.16018713
0,0,0.27407837
0,1,0.55740637
0,0,0.13999411
0,0,0.3129381
0,0,0.2910507
0,0,0.10831243
1,1,0.7152777
0,0,0.29113486
0,0,0.49371797
0,1,0.6370681
0,0,0.24718872
0,1,0.56307054
1,1,0.6370681
0,0,0.29351723
1,1,0.6314218
0,1,0.5632318
0,0,0.319375
0,1,0.512186
1,1,0.51553005
0,1,0.51349264
0,0,0.24822749
0,0,0.47225645
0,0,0.2072273
0,0,0.4122193
0,0,0.22086695
0,0,0.22086695
0,1,0.6607966
0,1,0.58124566
0,0,0.11281865
0,1,0.58541644
0,0,0.26581648
0,1,0.5193851
0,0,0.23521943
0,0,0.328455
1,1,0.5471257
1,1,0.6211783
1,0,0.480977
1,1,0.6774696
0,0,0.11243223
1,1,0.66612285
0,0,0.12544066
1,0,0.1823647
0,0,0.28630784
0,0,0.3449303
0,0,0.48262915
0,0,0.1375573
0,0,0.37935922
1,1,0.6314218
0,1,0.50365084
0,0,0.20480788
1,0,0.46318698
0,1,0.5876763
0,0,0.1659763
0,0,0.21728843
0,0,0.26116294
1,0,0.47118917
1,1,0.6964121
0,0,0.12930055
0,0,0.2773993
0,0,0.2083746
0,0,0.26564425
0,0,0.38083622
0,0,0.18511386
0,0,0.3283558
1,1,0.57275695
0,1,0.5471257
0,0,0.22086695
0,0,0.22086695
0,1,0.53986925
0,0,0.12738183
0,1,0.5508936
0,1,0.64953196
0,1,0.59942555
1,1,0.6419876
0,0,0.1914022
1,1,0.66456413
0,0,0.22086695
0,1,0.5192945
0,0,0.46815896
0,1,0.5901417
1,1,0.7429203
1,1,0.6314218
0,0,0.48520026
1,1,0.58541644
0,0,0.1120393
0,0,0.43850666
0,0,0.27407837
0,0,0.39776742
0,0,0.33910507
0,0,0.16725485
1,1,0.5147835
1,1,0.59022033
0,0,0.14838304
0,1,0.5314487
1,1,0.54929703
0,0,0.3341938
0,1,0.59356344
0,0,0.12212351
0,0,0.44408295
0,0,0.22495735
1,1,0.82344395
0,0,0.3030811
0,0,0.22086695
0,0,0.13806616
0,0,0.25874677
1,0,0.35888648
0,0,0.12741421
0,0,0.47771692
1,1,0.7208687
0,0,0.152579
0,0,0.23822398
0,0,0.48934245
1,1,0.55674845
1,0,0.33763918
1,1,0.5628158
0,0,0.35601124
1,1,0.6821867
0,0,0.4275018
0,0,0.49711013
0,0,0.33828905
0,0,0.1920141
0,1,0.54300225
0,0,0.3065732
0,1,0.5593489
0,0,0.30902284
1,1,0.7660294
0,1,0.51250875
0,1,0.56503385
0,0,0.33205783
0,0,0.31684113
0,1,0.52254546
1,1,0.6437381
1,1,0.5223837
0,0,0.2248673
1,1,0.7344426
1,0,0.45803645
0,0,0.31582642
0,0,0.28630784
1,0,0.4998547
0,0,0.20994025
0,1,0.61349535
0,0,0.36856315
0,0,0.2947594
0,0,0.25146294
0,0,0.2647116
0,1,0.6145116
0,1,0.5132959
0,1,0.6191753
0,0,0.21197966
0,0,0.3692165
0,0,0.23689122
0,1,0.60686076
1,1,0.7275177
0,0,0.32598934
0,0,0.15749961
0,1,0.5869313
0,1,0.5372077
0,0,0.28630784
0,0,0.10744667
1,0,0.25988376
0,1,0.6084389
0,0,0.2565343
0,1,0.57110596
0,0,0.27725428
1,1,0.51891893
0,0,0.10335668
0,0,0.13246284
0,0,0.40832382
0,1,0.54920924
0,0,0.18879367
0,0,0.38281652
0,0,0.21002416
0,0,0.22086695
0,1,0.5498488
0,0,0.22086695
0,1,0.5198404
0,0,0.2820529
1,0,0.21338578
1,1,0.6314218
0,1,0.56307054
0,0,0.11372285
0,1,0.5471257
0,0,0.48472515
0,0,0.12738183
1,1,0.5372077
0,0,0.35856953
0,0,0.11188644
0,0,0.19071184
0,1,0.5908359
0,0,0.118698835
0,0,0.23521943
0,0,0.24022081
0,1,0.52244234
0,0,0.1120393
0,1,0.7181029
0,1,0.55050063
0,0,0.25146294
0,1,0.57110596
0,1,0.6145116
0,1,0.50593406
1,1,0.6669853
0,1,0.6314218
0,1,0.5198866
0,1,0.58096915
